acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.954345703125,0.035400390625,0.0390625,-0.021685708201997358,0.016646071788857127,-0.030390534733785026
-0.953369140625,0.027099609375,0.031982421875,-0.024281884536039293,0.015577058004251621,-0.02916880469423588
-0.955322265625,0.034912109375,0.040283203125,-0.023823735771208363,0.012217300395491468,-0.029321520949179523
-0.9560546875,0.032470703125,0.034423828125,-0.022602005731659217,0.013897179199871545,-0.033444859832657894
-0.95654296875,0.030029296875,0.040283203125,-0.022907438241546504,0.012064584140547825,-0.029016088439292237
-0.954833984375,0.031005859375,0.04345703125,-0.023518303261321077,0.017867801828406273,-0.02672534461513759
-0.957763671875,0.0283203125,0.0361328125,-0.021991140711884644,0.01634063927896984,-0.027641642144799448
-0.956298828125,0.03173828125,0.04052734375,-0.018325950593237203,0.01740965306357534,-0.02794707465468673
-0.9521484375,0.029296875,0.039794921875,-0.02046397816244821,0.015424341749307978,-0.030390534733785026
-0.956298828125,0.0322265625,0.0419921875,-0.02046397816244821,0.012217300395491468,-0.03145954851839053
-0.9560546875,0.03125,0.03955078125,-0.024740033300870226,0.012522732905378755,-0.029016088439292237
-0.956298828125,0.03125,0.043701171875,-0.022907438241546504,0.015271625494364336,-0.028863372184348594
-0.955078125,0.029052734375,0.0400390625,-0.021685708201997358,0.01603520676908255,-0.03191769728322146
-0.953369140625,0.029296875,0.0380859375,-0.018020518083349917,0.013439030435040614,-0.02794707465468673
-0.959228515625,0.027587890625,0.043701171875,-0.01771508557346263,0.019089531867955416,-0.03008510222389774
-0.959228515625,0.03076171875,0.040771484375,-0.023060154496490144,0.014660760474589762,-0.03481930612715068
-0.95751953125,0.03125,0.04541015625,-0.01985311314267364,0.016646071788857127,-0.029932385968954096
-0.9560546875,0.029541015625,0.035888671875,-0.022296573221771927,0.011911867885604182,-0.032528562302996035
-0.957763671875,0.0302734375,0.041015625,-0.018784099358068133,0.02061669441739185,-0.029321520949179523
-0.955322265625,0.030029296875,0.03662109375,-0.018936815613011776,0.014813476729533407,-0.028099790909630377
-0.956298828125,0.02734375,0.041748046875,-0.019242248122899062,0.020005829397617282,-0.030695967243672316
-0.955322265625,0.0283203125,0.03759765625,-0.023823735771208363,0.01740965306357534,-0.02672534461513759
-0.951904296875,0.032470703125,0.03857421875,-0.021838424456941,0.0172569368086317,-0.029932385968954096
-0.954833984375,0.033447265625,0.039306640625,-0.022143856966828284,0.01053742159111139,-0.03008510222389774
-0.953369140625,0.028564453125,0.03759765625,-0.023976452026152003,0.013744462944927902,-0.033292143577714255
-0.950927734375,0.030029296875,0.044189453125,-0.016646071788857127,0.014660760474589762,-0.03191769728322146
