acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
-0.978271484375,0.0244140625,-0.032470703125,-0.053756121740162456,0.006566798962576664,0.04413499767871293
-0.981689453125,0.024169921875,-0.03564453125,-0.056199581819260755,0.012522732905378755,0.036651901186474406
-0.982421875,0.025146484375,-0.028564453125,-0.05421427050499339,0.005345068923027517,0.04077524006995278
-0.982177734375,0.024169921875,-0.0244140625,-0.057115879348922614,0.008857542786731315,0.0390953612655727
-0.979736328125,0.023681640625,-0.0283203125,-0.0539088379951061,0.007941245257069456,0.03497202238209433
-0.981201171875,0.02490234375,-0.03125,-0.05406155425004974,0.010231989081224104,0.0355828874018689
-0.983642578125,0.026611328125,-0.024169921875,-0.05314525672038789,0.006108650197745734,0.0380263474809672
-0.982177734375,0.023681640625,-0.024658203125,-0.0539088379951061,0.007330380237294881,0.03711004995130533
-0.974609375,0.025634765625,-0.030517578125,-0.05589414930937346,0.004276055138422014,0.037568198716136265
-0.981689453125,0.027099609375,-0.028564453125,-0.050396364131402305,0.007177663982351238,0.04230240261938921
-0.98046875,0.0224609375,-0.02587890625,-0.05192352668083874,0.013286314180096973,0.038484496245798125
-0.97705078125,0.0234375,-0.033447265625,-0.0539088379951061,0.006566798962576664,0.04291326763916378
-0.981689453125,0.025390625,-0.031494140625,-0.051159945406120524,0.0032070413538165107,0.036804617441418046
-0.982421875,0.025634765625,-0.0322265625,-0.0539088379951061,0.008552110276844029,0.03711004995130533
-0.981689453125,0.022705078125,-0.031005859375,-0.05726859560386626,0.010690137846055034,0.038637212500741765
-0.98193359375,0.028076171875,-0.03466796875,-0.05665773058409168,0.007024947727407594,0.03894264501062905
-0.979736328125,0.025634765625,-0.025634765625,-0.05543600054454254,0.010995570355942322,0.039400793775459984
-0.979736328125,0.020751953125,-0.0361328125,-0.05482513552476796,0.003512473863703797,0.03634646867658711
-0.986083984375,0.023681640625,-0.0283203125,-0.05681044683903533,0.0010690137846055036,0.039400793775459984
-0.980224609375,0.0244140625,-0.02587890625,-0.05894847440824633,0.004886920158196587,0.04230240261938921
-0.981201171875,0.025390625,-0.03271484375,-0.05574143305442982,0.009621124061449531,0.040317091305121844
-0.9814453125,0.0244140625,-0.0234375,-0.05406155425004974,0.013897179199871545,0.038637212500741765
-0.9833984375,0.0234375,-0.026611328125,-0.05574143305442982,0.010690137846055034,0.03955351003040363
-0.98095703125,0.02587890625,-0.031982421875,-0.05436698675993703,0.007635812747182168,0.04184425385455828
-0.983642578125,0.030029296875,-0.03125,-0.04841105281713494,0.009468407806505888,0.03375029234254518
-0.984130859375,0.02392578125,-0.029052734375,-0.05421427050499339,0.011148286610885964,0.03390300859748882
-0.982666015625,0.025390625,-0.031005859375,-0.05849032564341541,0.007941245257069456,0.038484496245798125
-0.978515625,0.024658203125,-0.0283203125,-0.05467241926982432,0.0032070413538165107,0.038637212500741765
-0.978271484375,0.02783203125,-0.0283203125,-0.05513056803465525,0.009162975296618601,0.038637212500741765
-0.981689453125,0.029296875,-0.026611328125,-0.05146537791600781,0.008093961512013097,0.03726276620624898
-0.98193359375,0.0244140625,-0.03076171875,-0.05406155425004974,0.014813476729533407,0.040469807560065484
-0.9833984375,0.023193359375,-0.0322265625,-0.060322920702739126,0.011759151630660538,0.0380263474809672
-0.979736328125,0.027587890625,-0.037109375,-0.0574213118588099,0.0032070413538165107,0.03894264501062905
-0.979248046875,0.0244140625,-0.02783203125,-0.05345068923027518,0.0022907438241546504,0.04077524006995278
-0.98046875,0.0234375,-0.027099609375,-0.05604686556431711,0.003054325098872867,0.034208441107376114
-0.980224609375,0.025634765625,-0.0283203125,-0.056199581819260755,0.005497785177971161,0.036651901186474406
-0.98193359375,0.026123046875,-0.034423828125,-0.05436698675993703,0.011453719120773252,0.03543017114692526
-0.981201171875,0.0263671875,-0.0302734375,-0.05009093162151502,0.013133597925153328,0.03894264501062905
-0.9814453125,0.024169921875,-0.02783203125,-0.057115879348922614,0.004734203903252944,0.041080672579840063
-0.982421875,0.0234375,-0.0263671875,-0.05436698675993703,0.007177663982351238,0.039248077520516345
-0.981201171875,0.023193359375,-0.02978515625,-0.05986477193790819,0.011759151630660538,0.038484496245798125
-0.981689453125,0.027099609375,-0.031494140625,-0.05589414930937346,0.006566798962576664,0.03283399481288332
-0.983642578125,0.029296875,-0.027099609375,-0.0574213118588099,0.011301002865829609,0.03787363122602355
-0.980712890625,0.027099609375,-0.02392578125,-0.055283284289598895,0.006261366452689377,0.03955351003040363
-0.983154296875,0.023193359375,-0.02978515625,-0.056199581819260755,0.014966192984477048,0.03543017114692526
-0.9814453125,0.02587890625,-0.038330078125,-0.05574143305442982,0.006261366452689377,0.03649918493153076
-0.979248046875,0.025146484375,-0.02734375,-0.05925390691813363,0.01038470533616775,0.03955351003040363
-0.98388671875,0.0224609375,-0.025390625,-0.053756121740162456,0.0032070413538165107,0.042607835129276496
-0.983642578125,0.021484375,-0.035400390625,-0.05161809417095146,0.006108650197745734,0.03894264501062905
-0.98291015625,0.024169921875,-0.035400390625,-0.058795758153302694,0.009773840316393174,0.03466658987220704
-0.98095703125,0.029052734375,-0.028564453125,-0.05421427050499339,0.00870482653178767,0.03985894254029092
-0.98193359375,0.02734375,-0.025390625,-0.05268710795555696,0.013133597925153328,0.03833177999085448
-0.978759765625,0.0234375,-0.028076171875,-0.05726859560386626,0.00824667776695674,0.0401643750501782
-0.98291015625,0.02294921875,-0.02978515625,-0.056352298074204395,0.009468407806505888,0.03833177999085448
